US_NEWS_2026_RANK,UNIVERSITY,ACCEPTANCE_RATE_PERCENT,AVERAGE_HIGH_SCHOOL_GPA,GPA_WEIGHTING,SAT_25TH,SAT_MEDIAN_REPORTED,SAT_75TH,SAT_TYPICAL_SCORE_PROXY,SAT_PROXY_METHOD,ACT_25TH,ACT_MEDIAN_REPORTED,ACT_75TH,ACT_TYPICAL_SCORE_PROXY,ACT_PROXY_METHOD,TUITION_SINGLE_RATE_USD,TUITION_IN_STATE_USD,TUITION_OUT_OF_STATE_USD,HOUSING_AND_FOOD_USD,BOOKS_AND_SUPPLIES_USD,TRANSPORTATION_USD,PERSONAL_OTHER_EXPENSES_USD,TOTAL_COST_SINGLE_RATE_USD,TOTAL_COST_IN_STATE_USD,TOTAL_COST_OUT_OF_STATE_USD,DIVERSITY_DENOMINATOR,AIAN_PERCENT,ASIAN_PERCENT,BLACK_PERCENT,HISPANIC_PERCENT,NHPI_PERCENT,WHITE_PERCENT,TWO_OR_MORE_PERCENT,UNKNOWN_PERCENT,NONRESIDENT_PERCENT,ADMISSION_FACTOR_RIGOR_SCORE,ADMISSION_FACTOR_CLASS_RANK_SCORE,ADMISSION_FACTOR_ACADEMIC_GPA_SCORE,ADMISSION_FACTOR_STANDARDIZED_TESTS_SCORE,ADMISSION_FACTOR_ESSAY_SCORE,ADMISSION_FACTOR_RECOMMENDATIONS_SCORE,ADMISSION_FACTOR_INTERVIEW_SCORE,ADMISSION_FACTOR_EXTRACURRICULARS_SCORE,ADMISSION_FACTOR_TALENT_ABILITY_SCORE,ADMISSION_FACTOR_CHARACTER_PERSONAL_SCORE,ADMISSION_FACTOR_FIRST_GENERATION_SCORE,ADMISSION_FACTOR_ALUMNI_RELATION_SCORE,ADMISSION_FACTOR_GEOGRAPHIC_RESIDENCE_SCORE,ADMISSION_FACTOR_STATE_RESIDENCY_SCORE,ADMISSION_FACTOR_RELIGIOUS_AFFILIATION_SCORE,ADMISSION_FACTOR_VOLUNTEER_WORK_SCORE,ADMISSION_FACTOR_WORK_EXPERIENCE_SCORE,ADMISSION_FACTOR_APPLICANT_INTEREST_SCORE,ACCEPTANCE_RATE_CDS_YEAR,GPA_CDS_YEAR,SAT_CDS_YEAR,ACT_CDS_YEAR,ADMISSION_FACTORS_CDS_YEAR,DIVERSITY_CDS_YEAR,COST_CDS_YEAR,PRIMARY_ADMISSIONS_SOURCE_URL,ADMISSION_FACTORS_SOURCE_URL,COST_SOURCE_URL,DIVERSITY_SOURCE_URL,SOURCE_TXT_FILE
17,Rice University,8,NA,NOT_SPECIFIED,1510,NA,1560,1535.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,017_Rice_University.txt
17,"University of California, Los Angeles",9,NA,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,017_University_of_California_Los_Angeles.txt
17,Vanderbilt University,5.4,NA,NOT_SPECIFIED,1510,NA,1560,1535.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,017_Vanderbilt_University.txt
20,Carnegie Mellon University,11.1,3.89,NOT_SPECIFIED,1500,1540,1560,1540,CDS_MEDIAN_50TH,34,35,36,35,CDS_MEDIAN_50TH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,2,3,3,0,4,3,4,3,1,2,1,1,4,2,1,2025-26,2025-26,2025-26,2025-26,2025-26,NA,NA,https://www.collegedata.fyi/,https://www.collegedata.fyi/,NA,NA,020_Carnegie_Mellon_University.txt
20,"University of Michigan, Ann Arbor",16.4,NA,NOT_SPECIFIED,1370,NA,1530,1450.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,020_University_of_Michigan_Ann_Arbor.txt
20,University of Notre Dame,9.4,NA,NOT_SPECIFIED,1460,NA,1540,1500.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,020_University_of_Notre_Dame.txt
20,Washington University in St. Louis,11.9,NA,NOT_SPECIFIED,1500,NA,1550,1525.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,2,3,4,4,3,2,2,1,1,3,3,1,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,2022-23,NA,NA,https://www.gradgpt.com/common-data-set,https://collegestatistics.org/,NA,NA,020_Washington_University_in_St_Louis.txt
24,Emory University,10.3,NA,NOT_SPECIFIED,1480,NA,1540,1510.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,024_Emory_University.txt
24,Georgetown University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,024_Georgetown_University.txt
26,University of North Carolina at Chapel Hill,16.7,NA,NOT_SPECIFIED,1400,NA,1530,1465.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,026_University_of_North_Carolina_at_Chapel_Hill.txt
