US_NEWS_2026_RANK,UNIVERSITY,ACCEPTANCE_RATE_PERCENT,AVERAGE_HIGH_SCHOOL_GPA,GPA_WEIGHTING,SAT_25TH,SAT_MEDIAN_REPORTED,SAT_75TH,SAT_TYPICAL_SCORE_PROXY,SAT_PROXY_METHOD,ACT_25TH,ACT_MEDIAN_REPORTED,ACT_75TH,ACT_TYPICAL_SCORE_PROXY,ACT_PROXY_METHOD,TUITION_SINGLE_RATE_USD,TUITION_IN_STATE_USD,TUITION_OUT_OF_STATE_USD,HOUSING_AND_FOOD_USD,BOOKS_AND_SUPPLIES_USD,TRANSPORTATION_USD,PERSONAL_OTHER_EXPENSES_USD,TOTAL_COST_SINGLE_RATE_USD,TOTAL_COST_IN_STATE_USD,TOTAL_COST_OUT_OF_STATE_USD,DIVERSITY_DENOMINATOR,AIAN_PERCENT,ASIAN_PERCENT,BLACK_PERCENT,HISPANIC_PERCENT,NHPI_PERCENT,WHITE_PERCENT,TWO_OR_MORE_PERCENT,UNKNOWN_PERCENT,NONRESIDENT_PERCENT,ADMISSION_FACTOR_RIGOR_SCORE,ADMISSION_FACTOR_CLASS_RANK_SCORE,ADMISSION_FACTOR_ACADEMIC_GPA_SCORE,ADMISSION_FACTOR_STANDARDIZED_TESTS_SCORE,ADMISSION_FACTOR_ESSAY_SCORE,ADMISSION_FACTOR_RECOMMENDATIONS_SCORE,ADMISSION_FACTOR_INTERVIEW_SCORE,ADMISSION_FACTOR_EXTRACURRICULARS_SCORE,ADMISSION_FACTOR_TALENT_ABILITY_SCORE,ADMISSION_FACTOR_CHARACTER_PERSONAL_SCORE,ADMISSION_FACTOR_FIRST_GENERATION_SCORE,ADMISSION_FACTOR_ALUMNI_RELATION_SCORE,ADMISSION_FACTOR_GEOGRAPHIC_RESIDENCE_SCORE,ADMISSION_FACTOR_STATE_RESIDENCY_SCORE,ADMISSION_FACTOR_RELIGIOUS_AFFILIATION_SCORE,ADMISSION_FACTOR_VOLUNTEER_WORK_SCORE,ADMISSION_FACTOR_WORK_EXPERIENCE_SCORE,ADMISSION_FACTOR_APPLICANT_INTEREST_SCORE,ACCEPTANCE_RATE_CDS_YEAR,GPA_CDS_YEAR,SAT_CDS_YEAR,ACT_CDS_YEAR,ADMISSION_FACTORS_CDS_YEAR,DIVERSITY_CDS_YEAR,COST_CDS_YEAR,PRIMARY_ADMISSIONS_SOURCE_URL,ADMISSION_FACTORS_SOURCE_URL,COST_SOURCE_URL,DIVERSITY_SOURCE_URL,SOURCE_TXT_FILE
36,Tufts University,10.8,NA,NOT_SPECIFIED,1460,NA,1520,1490.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,036_Tufts_University.txt
36,University of Illinois Urbana-Champaign,36.6,NA,NOT_SPECIFIED,1390,NA,1520,1455.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,2,3,1,1,3,3,3,3,1,2,2,1,2,2,1,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,2024-25,NA,NA,https://www.gradgpt.com/common-data-set,https://collegestatistics.org/,NA,NA,036_University_of_Illinois_Urbana_Champaign.txt
36,University of Wisconsin-Madison,40.8,NA,NOT_SPECIFIED,1400,NA,1490,1445.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,036_University_of_Wisconsin_Madison.txt
40,"University of California, Santa Barbara",38.2,NA,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,040_University_of_California_Santa_Barbara.txt
41,Ohio State University,60.6,NA,NOT_SPECIFIED,1280,NA,1430,1355.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,041_Ohio_State_University.txt
42,Boston University,12.8,3.86,UNWEIGHTED,1420,NA,1510,1465.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,33,34,34,34,CDS_MEDIAN_50TH,69870,NA,NA,19970,1000,630,1455,92925,NA,NA,17628,0.051,21.301,5.786,12.287,0.057,30.378,5.23,4.385,20.524,4,3,4,2,3,3,1,3,1,3,2,1,2,2,1,2,2,2,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,2024-25,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.gradgpt.com/common-data-set,https://collegestatistics.org/,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,042_Boston_University.txt
42,Rutgers University-New Brunswick,65.3,NA,NOT_SPECIFIED,1270,NA,1480,1375.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,042_Rutgers_University_New_Brunswick.txt
42,"University of Maryland, College Park",45,NA,NOT_SPECIFIED,1410,NA,1520,1465.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,042_University_of_Maryland_College_Park.txt
42,University of Washington,41.7,NA,NOT_SPECIFIED,1320,NA,1502,1411.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,042_University_of_Washington.txt
46,Lehigh University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,046_Lehigh_University.txt
46,Northeastern University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,046_Northeastern_University.txt
46,Purdue University,43.4,NA,NOT_SPECIFIED,1220,NA,1470,1345.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,046_Purdue_University.txt
46,University of Georgia,34.3,NA,NOT_SPECIFIED,1250,NA,1420,1335.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,046_University_of_Georgia.txt
46,University of Rochester,41.9,NA,NOT_SPECIFIED,1400,NA,1510,1455.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,046_University_of_Rochester.txt
51,Case Western Reserve University,35.3,NA,NOT_SPECIFIED,1440,NA,1530,1485.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,051_Case_Western_Reserve_University.txt
51,Florida State University,23.8,NA,NOT_SPECIFIED,1300,NA,1410,1355.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,051_Florida_State_University.txt
51,Texas A&M University,51.7,NA,NOT_SPECIFIED,1160,NA,1390,1275.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,051_Texas_A_M_University.txt
51,Virginia Tech,54.6,NA,NOT_SPECIFIED,1280,NA,1450,1365.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,051_Virginia_Tech.txt
51,Wake Forest University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,051_Wake_Forest_University.txt
51,William & Mary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,051_William_Mary.txt
57,"University of California, Merced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,057_University_of_California_Merced.txt
57,Villanova University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,057_Villanova_University.txt
59,George Washington University,47.1,NA,NOT_SPECIFIED,1310,NA,1450,1380.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,059_George_Washington_University.txt
59,Pennsylvania State University,55.3,3.67,UNWEIGHTED,1280,NA,1410,1345.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,28,30,32,30,CDS_MEDIAN_50TH,NA,20878,44574,15968,1290,2244,3112,NA,44132,67828,42479,0.132,7.672,4.492,9.242,0.066,62.546,4.134,2.408,9.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.gradgpt.com/common-data-set,NA,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,059_Pennsylvania_State_University.txt
59,Santa Clara University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,059_Santa_Clara_University.txt
59,Stony Brook University,48.2,NA,NOT_SPECIFIED,1350,NA,1470,1410.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,059_Stony_Brook_University.txt
59,University of Minnesota Twin Cities,78.9,NA,NOT_SPECIFIED,1310,NA,1460,1385.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,059_University_of_Minnesota_Twin_Cities.txt
64,Michigan State University,83.2,NA,NOT_SPECIFIED,1100,NA,1310,1205.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,064_Michigan_State_University.txt
64,North Carolina State University,39.5,NA,NOT_SPECIFIED,1310,NA,1440,1375.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,064_North_Carolina_State_University.txt
64,Rensselaer Polytechnic Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,064_Rensselaer_Polytechnic_Institute.txt
64,University of Massachusetts Amherst,58,NA,NOT_SPECIFIED,1310,NA,1460,1385.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,064_University_of_Massachusetts_Amherst.txt
64,University of Miami,17.6,NA,NOT_SPECIFIED,1350,NA,1450,1400.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,064_University_of_Miami.txt
69,Brandeis University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,069_Brandeis_University.txt
69,Tulane University,NA,NA,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,069_Tulane_University.txt
69,University of Connecticut,54.4,NA,NOT_SPECIFIED,1260,NA,1420,1340.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,069_University_of_Connecticut.txt
69,University of Pittsburgh,59.4,NA,NOT_SPECIFIED,1280,NA,1460,1370.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,29,31,33,31,CDS_MEDIAN_50TH,NA,NA,NA,13620,596,NA,NA,NA,NA,NA,21222,0.028,15.267,5.235,7.261,0.033,60.4,4.995,2.973,3.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,GRADGPT_LATEST_CDS_SNAPSHOT,GRADGPT_LATEST_CDS_SNAPSHOT,https://www.gradgpt.com/common-data-set,NA,https://www.gradgpt.com/common-data-set,https://www.gradgpt.com/common-data-set,069_University_of_Pittsburgh.txt
73,Binghamton University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,073_Binghamton_University.txt
73,Indiana University Bloomington,75.9,NA,NOT_SPECIFIED,1200,NA,1410,1305.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,073_Indiana_University_Bloomington.txt
75,Clemson University,42.4,NA,NOT_SPECIFIED,1250,NA,1400,1325.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,075_Clemson_University.txt
75,Rutgers University-Newark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,075_Rutgers_University_Newark.txt
75,Syracuse University,43,NA,NOT_SPECIFIED,1280,NA,1410,1345.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,075_Syracuse_University.txt
75,University at Buffalo,80.6,NA,NOT_SPECIFIED,1210,NA,1380,1295.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,075_University_at_Buffalo.txt
75,"University of California, Riverside",76.9,NA,NOT_SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,075_University_of_California_Riverside.txt
80,Colorado School of Mines,58,NA,NOT_SPECIFIED,1340,NA,1460,1400.0,MIDPOINT_OF_CDS_25TH_75TH_NOT_TRUE_AVERAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,LATEST_CDS_SNAPSHOT_AS_OF_2026-07-27,NA,NA,NA,NA,https://www.gradgpt.com/common-data-set,NA,NA,NA,080_Colorado_School_of_Mines.txt
